Title,Status,Prio,Deadline,tags,Importance/damage/value,domain,Date,time estimate,ROI,Urgency,days left,new prio,time pressure,wish date
daily digital detox / boredom,1 Not started,224,,"growth, habit, idea, self-care",8 - extreme,"goals, habits, health, physical health, skills","April 1, 2024 6:14 PM",1 - next,8,0 - today,-28,224,224,"April 1, 2024 6:14 PM"
career/newJob,1 Planning,181.866666666553,,,8 - extreme,career,"July 25, 2023 11:24 PM",15 - quest,0.533333333333,30 - this month,-248,132.266666666584,132.266666666584,"August 24, 2023 11:24 PM"
learn to relax,1 Research,170.133333333227,,"growth, idea, self-care",8 - extreme,,"August 11, 2023 12:24 AM",15 - quest,0.533333333333,30 - this month,-232,123.733333333256,123.733333333256,"September 10, 2023 12:24 AM"
excercises and or ninjutsu,1 Planning,161.999999999899,,idea,8 - extreme,physical health,"August 2, 2023 2:09 PM",15 - quest,0.533333333333,1 - tomorrow,-270,143.99999999991,143.99999999991,"August 3, 2023 2:09 PM"
skills/Saying no,1 Research,135.499999999865,,,5 - super,skills,"July 25, 2023 11:21 PM",15 - quest,0.333333333333,7 - this week,-271,90.333333333243,90.333333333243,"August 1, 2023 11:21 PM"
body/CheckUp,1 Not started,105,"February 5, 2024",,5 - super,physical health,"July 25, 2023 11:19 PM",4 - task,1.25,30 - this month,-84,105,105,"August 24, 2023 11:19 PM"
bett,1 Not started,102.5,"February 7, 2024",,5 - super,,"December 11, 2023 9:31 AM",4 - task,1.25,30 - this month,-82,102.5,102.5,"January 10, 2024 9:31 AM"
"Führerschein ",1 Planning,87.1875,"January 27, 2024","growth, self-care",5 - super,"career, goals, organization, skills","January 13, 2024 8:15 AM",4 - task,1.25,120 - this quarter,-93,116.25,116.25,"May 12, 2024 9:15 AM"
Plan learning,1 Not started,85.3125,,growth,5 - super,"career, goals, organization","October 1, 2023 11:58 AM",4 - task,1.25,120 - this quarter,-91,113.75,113.75,"January 29, 2024 10:58 AM"
body/Brille,1 Next,82.666666666584,,self-care,5 - super,physical health,"July 25, 2023 11:18 PM",15 - quest,0.333333333333,30 - this month,-248,82.666666666584,82.666666666584,"August 24, 2023 11:18 PM"
focus,1 Not started,80.333333333253,,"growth, habit",5 - super,health,"August 2, 2023 2:11 PM",15 - quest,0.333333333333,30 - this month,-241,80.333333333253,80.333333333253,"September 1, 2023 2:11 PM"
physical activities!,1 Planning,77.333333333256,,"growth, idea, self-care",5 - super,physical health,"August 11, 2023 12:25 AM",15 - quest,0.333333333333,30 - this month,-232,77.333333333256,77.333333333256,"September 10, 2023 12:25 AM"
Monitore verkaufen,1 Next,75,"February 29, 2024",,5 - super,finance,"January 22, 2024 8:57 AM",4 - task,1.25,30 - this month,-60,75,75,"February 21, 2024 8:57 AM"
Time Managment bzw. Überwachung von habits,1 Not started,70.666666666596,,"growth, habit, self-care",5 - super,habits,"August 30, 2023 10:25 PM",15 - quest,0.333333333333,30 - this month,-212,70.666666666596,70.666666666596,"September 29, 2023 10:25 PM"
Games to play,1 Not started,69.666666666597,,idea,5 - super,social,"September 3, 2023 12:46 AM",15 - quest,0.333333333333,30 - this month,-209,69.666666666597,69.666666666597,"October 3, 2023 12:46 AM"
elektroschrott webbringen,1 ongoing,66.75,"January 31, 2024",,2- mid,organization,"January 22, 2024 9:03 AM",1 - next,2,120 - this quarter,-89,178,178,"May 21, 2024 10:03 AM"
Termin für Überweisung Hautarzt,1 Next,60,"February 29, 2024",self-care,1 - no,health,"September 12, 2023 10:30 PM",1 - next,1,7 - this week,-60,60,60,"September 19, 2023 10:30 PM"
group therapy? Dr K?,1 waiting,53.25,,"growth, self-care",3 - very,health,"August 11, 2023 12:22 AM",4 - task,0.75,120 - this quarter,-142,106.5,106.5,"December 8, 2023 11:22 PM"
mind/healthygamer,1 - In progress,45.466666666553,,,8 - extreme,health,"July 25, 2023 11:20 PM",60 - epic,0.133333333333,30 - this month,-248,33.066666666584,33.066666666584,"August 24, 2023 11:20 PM"
